NAME,DATE,OPPONENT,Goals,Assists,Points,PIMS,PPG,SHG,ENG,GWG,GTG,Shots,,,,,,,,,,,,,,
Ryan Furne,20-Oct,NotreDame,0,0,0,12,0,0,0,0,0,0,,,,,,,,,,,,,,
Ryan Furne,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Ryan Furne,26-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Ryan Furne,1-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Ryan Furne,2-Nov,Michigan,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Malcolm Gould,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Malcolm Gould,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Malcolm Gould,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Malcolm Gould,18-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Malcolm Gould,20-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Malcolm Gould,25-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Malcolm Gould,26-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Malcolm Gould,1-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Malcolm Gould,2-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Shane Hanna,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Shane Hanna,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Shane Hanna,12-Oct,Minn.Duluth,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Shane Hanna,18-Oct,NotreDame,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Shane Hanna,20-Oct,NotreDame,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Shane Hanna,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Shane Hanna,26-Oct,NorthernMich.,0,2,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Shane Hanna,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Shane Hanna,2-Nov,Michigan,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Tyler Heinonen,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Tyler Heinonen,11-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Tyler Heinonen,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Tyler Heinonen,18-Oct,NotreDame,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Tyler Heinonen,20-Oct,NotreDame,2,0,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Tyler Heinonen,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Tyler Heinonen,26-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Tyler Heinonen,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,
Tyler Heinonen,2-Nov,Michigan,0,0,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,
Daniel Holmberg,5-Oct,Laurentian,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Holmberg,11-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Holmberg,12-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Holmberg,18-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Holmberg,20-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Holmberg,25-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Holmberg,26-Oct,NorthernMich.,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Daniel Holmberg,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Daniel Holmberg,2-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Walker Hyland,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Walker Hyland,11-Oct,Minn.Duluth,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Walker Hyland,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Walker Hyland,18-Oct,NotreDame,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Walker Hyland,20-Oct,NotreDame,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Walker Hyland,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Walker Hyland,26-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,
Walker Hyland,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Walker Hyland,2-Nov,Michigan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
David Johnstone,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,
David Johnstone,11-Oct,Minn.Duluth,0,0,0,4,0,0,0,0,0,3,,,,,,,,,,,,,,
David Johnstone,12-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
David Johnstone,18-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
David Johnstone,20-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
David Johnstone,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
David Johnstone,26-Oct,NorthernMich.,1,1,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,
David Johnstone,1-Nov,Michigan,0,1,1,2,0,0,0,0,0,6,,,,,,,,,,,,,,
David Johnstone,2-Nov,Michigan,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Jacob Johnstone,5-Oct,Laurentian,0,0,0,2,0,0,0,0,0,4,,,,,,,,,,,,,,
Jacob Johnstone,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Jacob Johnstone,12-Oct,Minn.Duluth,0,0,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,
Jacob Johnstone,18-Oct,NotreDame,0,0,0,2,0,0,0,0,0,3,,,,,,,,,,,,,,
Jacob Johnstone,20-Oct,NotreDame,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,
Jacob Johnstone,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Jacob Johnstone,26-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Jacob Johnstone,1-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Jacob Johnstone,2-Nov,Michigan,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Tanner Kero,5-Oct,Laurentian,0,2,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Tanner Kero,11-Oct,Minn.Duluth,0,1,1,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Tanner Kero,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Tanner Kero,18-Oct,NotreDame,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Tanner Kero,20-Oct,NotreDame,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Tanner Kero,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,
Tanner Kero,26-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,
Tanner Kero,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Tanner Kero,2-Nov,Michigan,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Chris Leibinger,5-Oct,Laurentian,0,1,1,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Chris Leibinger,11-Oct,Minn.Duluth,1,0,1,2,0,1,0,0,0,1,,,,,,,,,,,,,,
Chris Leibinger,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Chris Leibinger,18-Oct,NotreDame,0,0,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,
Chris Leibinger,20-Oct,NotreDame,0,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Chris Leibinger,25-Oct,NorthernMich.,0,0,0,15,0,0,0,0,0,2,,,,,,,,,,,,,,
Chris Leibinger,26-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Chris Leibinger,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Chris Leibinger,2-Nov,Michigan,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Mike Neville,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Mike Neville,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Mike Neville,12-Oct,Minn.Duluth,1,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,,
Mike Neville,18-Oct,NotreDame,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Mike Neville,20-Oct,NotreDame,0,1,1,15,0,0,0,0,0,1,,,,,,,,,,,,,,
Mike Neville,25-Oct,NorthernMich.,0,0,0,15,0,0,0,0,0,0,,,,,,,,,,,,,,
Mike Neville,26-Oct,NorthernMich.,0,2,2,2,0,0,0,0,0,2,,,,,,,,,,,,,,
Mike Neville,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Mike Neville,2-Nov,Michigan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Alex Petan,5-Oct,Laurentian,3,0,3,0,0,0,0,1,0,9,,,,,,,,,,,,,,
Alex Petan,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Alex Petan,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,
Alex Petan,18-Oct,NotreDame,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
Alex Petan,20-Oct,NotreDame,1,0,1,21,0,0,0,0,0,2,,,,,,,,,,,,,,
Alex Petan,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Alex Petan,26-Oct,NorthernMich.,1,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Alex Petan,1-Nov,Michigan,0,1,1,0,0,0,0,0,0,5,,,,,,,,,,,,,,
Alex Petan,2-Nov,Michigan,0,0,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,
Blake Pietila,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Blake Pietila,11-Oct,Minn.Duluth,0,0,0,17,0,0,0,0,0,0,,,,,,,,,,,,,,
Blake Pietila,12-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Blake Pietila,18-Oct,NotreDame,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Blake Pietila,20-Oct,NotreDame,0,1,1,2,0,0,0,0,0,1,,,,,,,,,,,,,,
Blake Pietila,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Blake Pietila,26-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Blake Pietila,1-Nov,Michigan,1,0,1,0,1,0,0,0,0,4,,,,,,,,,,,,,,
Blake Pietila,2-Nov,Michigan,0,0,0,2,0,0,0,0,0,5,,,,,,,,,,,,,,
Dennis Rix,5-Oct,Laurentian,0,0,0,2,0,0,0,0,0,4,,,,,,,,,,,,,,
Dennis Rix,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Dennis Rix,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Dennis Rix,18-Oct,NotreDame,0,0,0,4,0,0,0,0,0,3,,,,,,,,,,,,,,
Dennis Rix,20-Oct,NotreDame,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Dennis Rix,25-Oct,NorthernMich.,0,0,0,4,0,0,0,0,0,1,,,,,,,,,,,,,,
Dennis Rix,26-Oct,NorthernMich.,0,0,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,
Dennis Rix,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Dennis Rix,2-Nov,Michigan,1,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Daniel Sova,5-Oct,Laurentian,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Sova,11-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Sova,12-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Sova,18-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Sova,20-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Sova,25-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Sova,26-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Sova,1-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Daniel Sova,2-Nov,Michigan,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Brad Stebner,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Brad Stebner,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Brad Stebner,12-Oct,Minn.Duluth,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
Brad Stebner,18-Oct,NotreDame,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
Brad Stebner,20-Oct,NotreDame,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
Brad Stebner,25-Oct,NorthernMich.,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,
Brad Stebner,26-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Brad Stebner,1-Nov,Michigan,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
Brad Stebner,2-Nov,Michigan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Reid Sturos,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Reid Sturos,11-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Reid Sturos,12-Oct,Minn.Duluth,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Reid Sturos,18-Oct,NotreDame,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
Reid Sturos,20-Oct,NotreDame,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Reid Sturos,25-Oct,NorthernMich.,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Reid Sturos,26-Oct,NorthernMich.,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
Reid Sturos,1-Nov,Michigan,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
